Client_ID,Age,Gender,Marital_Status,Education_Level,Employment_Status,Years_At_Job,Annual_Income,Credit_Score,Debt_To_Income_Ratio,Loan_Amount,Loan_Term_Months,Interest_Rate,Previous_Defaults,Loan_Purpose,Collateral_Provided,Late_Payments_6m,Loan_Status,Default_Risk
1,59,Male,Widowed,Master,Employed,20,102895,735,0.39,30993,60,10.75,1,Other,No,0,Rejected,Low
2,49,Female,Widowed,PhD,Retired,34,109132,760,0.46,6524,72,7.89,2,Education,No,4,Rejected,High
3,35,Female,Single,Bachelor,Unemployed,12,111066,320,0.22,31120,12,12.05,0,Business,Yes,3,Rejected,Low
4,63,Male,Divorced,High School,Unemployed,9,86798,363,0.32,5078,72,14.91,0,Car,No,1,Rejected,Medium
5,28,Female,Widowed,Master,Retired,9,74199,464,0.24,40891,24,10.74,4,Education,No,1,Approved,Low
6,41,Female,Married,High School,Unemployed,12,143823,326,0.14,30473,72,3.13,0,Business,Yes,3,Rejected,Medium
7,59,Female,Divorced,Master,Unemployed,36,79546,610,0.54,44832,12,3.81,1,Home,No,0,Rejected,Low
8,39,Female,Married,Bachelor,Retired,37,148180,584,0.46,13417,12,13.51,4,Education,No,1,Rejected,High
9,43,Male,Divorced,Master,Self-employed,23,125686,580,0.25,18362,60,9.09,0,Other,No,5,Rejected,Low
10,31,Female,Married,Bachelor,Employed,1,108151,463,0.4,6209,24,12.81,2,Home,Yes,5,Approved,Medium
11,31,Male,Single,Master,Unemployed,21,23327,523,0.2,42921,36,13.21,1,Education,No,5,Rejected,Low
12,44,Female,Widowed,Bachelor,Self-employed,16,140318,445,0.55,9898,72,14.1,2,Personal,No,2,Rejected,Low
13,56,Female,Married,Bachelor,Unemployed,35,49768,329,0.16,23562,60,14.37,2,Business,Yes,2,Rejected,Medium
14,60,Male,Divorced,PhD,Unemployed,13,84418,344,0.1,15871,72,9.44,4,Business,Yes,0,Rejected,Low
15,44,Female,Widowed,Bachelor,Employed,9,114386,770,0.35,12610,72,6.76,3,Personal,No,3,Rejected,Low
16,23,Female,Widowed,PhD,Unemployed,34,136947,333,0.39,48845,36,14.52,4,Car,Yes,4,Approved,Low
17,42,Female,Divorced,Bachelor,Employed,24,62788,726,0.39,32382,24,9.34,1,Other,Yes,0,Rejected,Medium
18,22,Male,Married,High School,Employed,2,135945,520,0.13,20791,12,3.3,1,Business,Yes,4,Rejected,High
19,44,Female,Single,Bachelor,Employed,37,102384,833,0.26,40312,48,10.53,4,Home,Yes,0,Approved,Low
20,64,Male,Single,High School,Self-employed,16,66830,666,0.35,43290,72,9.85,3,Other,Yes,2,Rejected,Medium
21,50,Female,Married,High School,Retired,11,72446,849,0.21,7370,48,13.7,4,Business,Yes,5,Approved,Low
22,58,Male,Widowed,Bachelor,Self-employed,23,125078,415,0.54,24665,24,10.66,1,Car,Yes,3,Rejected,Low
23,22,Male,Widowed,High School,Retired,28,35160,538,0.14,9710,48,6.86,3,Home,No,2,Approved,High
24,41,Female,Widowed,PhD,Retired,24,76583,634,0.34,5328,72,14.58,1,Other,Yes,3,Approved,Medium
25,53,Female,Widowed,Master,Employed,35,53998,740,0.45,43347,36,12.52,3,Home,Yes,4,Rejected,Medium
26,32,Male,Married,Bachelor,Unemployed,25,47230,447,0.23,25612,48,10.38,3,Personal,Yes,0,Approved,Low
27,42,Male,Widowed,High School,Employed,37,29076,308,0.41,11794,24,6.16,4,Education,No,1,Rejected,Low
28,64,Female,Divorced,Bachelor,Unemployed,0,89341,587,0.51,37888,24,7.17,4,Personal,Yes,1,Approved,Low
29,45,Male,Widowed,PhD,Retired,19,51085,687,0.2,11749,36,10.87,4,Other,Yes,3,Approved,Low
30,69,Female,Single,Bachelor,Employed,27,75571,349,0.56,25608,48,3.4,3,Education,No,5,Rejected,Low
31,47,Female,Widowed,Bachelor,Unemployed,15,34715,816,0.38,20450,48,5.71,3,Personal,Yes,5,Approved,Medium
32,62,Female,Married,High School,Self-employed,16,148308,577,0.25,8675,12,11.42,1,Education,No,3,Rejected,Medium
33,48,Female,Single,PhD,Unemployed,39,25750,599,0.32,23460,60,8.5,2,Business,No,2,Approved,Low
34,36,Male,Married,Master,Employed,27,133931,434,0.26,43411,24,7.53,4,Home,Yes,1,Approved,Low
